[ 2025-10-27 19:57:57,096 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-10-27 19:57:58,190 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-10-27 19:57:59,268 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-10-27 19:57:59,276 ] 107 dagshub - INFO - Accessing as hari-prakash-k7
[ 2025-10-27 19:58:01,209 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/hari-prakash-k7/networksecurity "HTTP/1.1 200 OK"
[ 2025-10-27 19:58:03,286 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-10-27 19:58:03,290 ] 107 dagshub - INFO - Initialized MLflow to track repo "hari-prakash-k7/networksecurity"
[ 2025-10-27 19:58:03,291 ] 107 dagshub - INFO - Repository hari-prakash-k7/networksecurity initialized!
[ 2025-10-27 19:58:08,550 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-27 19:58:11,824 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-27 19:58:11,824 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-27 19:58:11,824 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-27 19:58:11,862 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-27 19:58:11,862 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-27 19:58:11,868 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-27 19:58:11,883 ] 32 root - INFO - Required number of columns:2
[ 2025-10-27 19:58:11,883 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-27 19:58:11,883 ] 32 root - INFO - Required number of columns:2
[ 2025-10-27 19:58:11,883 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-27 19:58:11,979 ] 28 root - INFO - data Validation Completed
[ 2025-10-27 19:58:11,979 ] 31 root - INFO - data Transformation started
[ 2025-10-27 19:58:11,979 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-27 19:58:11,979 ] 65 root - INFO - Starting data transformation
[ 2025-10-27 19:58:11,996 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-27 19:58:11,996 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-27 19:58:12,005 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 19:58:12,007 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 19:58:12,007 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 19:58:12,010 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 19:58:12,011 ] 35 root - INFO - data Transformation completed
[ 2025-10-27 19:58:12,011 ] 37 root - INFO - Model Training sstared
